employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,average_montly_hours
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,50.0,0,195
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,0,50.0,0,203
7152,Technology,region_2,Bachelor's,m,other,1,38,3.0,5,0,77.0,0,120
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,0,51.0,0,275
12067,Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,75.0,0,153
2370,Technology,region_26,Bachelor's,m,other,1,33,4.0,4,0,79.0,0,186
8219,Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,0,80.0,0,207
13596,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,85.0,0,156
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,53.0,0,257
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,0,80.0,0,167
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,0,52.0,0,109
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,0,58.0,0,218
7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,0,91.0,0,264
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,51.0,0,163
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,0,90.0,1,219
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,72.0,0,204
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,0,83.0,0,160
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,50.0,0,155
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56.0,0,210
7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76.0,0,236
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57.0,0,154
5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,0,56.0,1,193
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,,0,234
942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,84.0,0,145
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,53.0,0,213
197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,0,,0,229
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,49.0,0,215
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,0,70.0,0,195
6254,Operations,region_2,,f,other,1,33,4.0,9,0,64.0,0,209
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,51.0,0,158
3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,80.0,0,142
7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,86.0,0,221
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,0,49.0,0,256
11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,69.0,0,216
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,49.0,0,283
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,0,63.0,0,150
9563,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,60.0,0,173
10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,0,87.0,0,216
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,49.0,0,270
11794,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,0,87.0,0,145
13970,Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,60.0,0,207
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,78.0,0,151
1829,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,0,87.0,0,257
2177,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,0,58.0,0,139
12504,Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,85.0,0,199
12559,Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,63.0,0,136
13150,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,70.0,0,222
9616,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,57.0,0,134
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,0,69.0,0,178
2268,Technology,region_13,Bachelor's,m,other,1,35,5.0,8,0,81.0,0,246
11205,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5.0,8,0,48.0,0,242
